animation_id,frame_id,run_id,sample_id,state,category,x_mm,y_mm,target_zone,event_type,event_label,notes
baseline_multi_box_sorting,26,baseline_multi_box_run,MBOX-012,APPROACH_INPUT_SLOT,Category C,-260.000,299.000,output_C,trajectory,APPROACH_INPUT_SLOT,approach input slot
baseline_multi_box_sorting,27,baseline_multi_box_run,MBOX-012,MOVE_SAFE_ABOVE_TARGET,Category C,146.000,2.000,output_C,move_to_output,move to target,move above target
baseline_multi_box_sorting,28,baseline_multi_box_run,MBOX-013,MOVE_SAFE_ABOVE_SCAN,Category D,-140.000,60.000,output_D,move_to_scan,move to scan,move above scan station
baseline_multi_box_sorting,29,baseline_multi_box_run,MBOX-013,RETREAT_TO_SAFE_Z,Category D,356.000,2.000,output_D,trajectory,RETREAT_TO_SAFE_Z,retreat after place
baseline_multi_box_sorting,30,baseline_multi_box_run,MBOX-014,CLASSIFY_SAMPLE,Category A,-140.000,60.000,output_A,classify,classify sample,scan and classify
baseline_multi_box_sorting,31,baseline_multi_box_run,MBOX-015,PICK_TUBE,Category B,-344.000,271.000,output_B,pick,pick tube,pick tube
baseline_multi_box_sorting,32,baseline_multi_box_run,MBOX-015,APPROACH_TARGET_SLOT,Category B,384.000,212.000,output_B,trajectory,APPROACH_TARGET_SLOT,approach target slot
baseline_multi_box_sorting,33,baseline_multi_box_run,MBOX-016,APPROACH_SCAN_STATION,Category C,-140.000,60.000,output_C,trajectory,APPROACH_SCAN_STATION,approach scan station
baseline_multi_box_sorting,34,baseline_multi_box_run,MBOX-017,MOVE_SAFE_ABOVE_INPUT,Category D,-288.000,271.000,output_D,move_to_input,move to input,move to input safe height
baseline_multi_box_sorting,35,baseline_multi_box_run,MBOX-017,LIFT_TO_SAFE_Z_AFTER_SCAN,Category D,-140.000,60.000,output_D,trajectory,LIFT_TO_SAFE_Z_AFTER_SCAN,lift after scan
baseline_multi_box_sorting,36,baseline_multi_box_run,MBOX-018,LIFT_TO_SAFE_Z,Category A,-260.000,271.000,output_A,trajectory,LIFT_TO_SAFE_Z,lift picked tube
baseline_multi_box_sorting,37,baseline_multi_box_run,MBOX-018,PLACE_TUBE,Category A,202.000,212.000,output_A,place_to_output,place to Category A,place tube
baseline_multi_box_sorting,38,baseline_multi_box_run,MBOX-019,SCAN_BARCODE,manual_review,-140.000,60.000,manual_review,scan,scan barcode,scan and classify
baseline_multi_box_sorting,39,baseline_multi_box_run,MBOX-019,PLACE_TUBE,manual_review,-180.000,-286.000,manual_review,place_to_manual_review,place to manual review,place tube
baseline_multi_box_sorting,40,baseline_multi_box_run,MBOX-020,APPROACH_INPUT_SLOT,Category B,-372.000,243.000,output_B,trajectory,APPROACH_INPUT_SLOT,approach input slot
