trajectory_id,sample_id,step_order,state,x_mm,y_mm,z_mm,within_x_range,within_y_range,within_z_range,check_status,notes
traj_014,TUBE-014,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_014,TUBE-014,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_014,TUBE-014,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_014,TUBE-014,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_014,TUBE-014,9,MOVE_SAFE_ABOVE_TARGET,62.000,-174.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_014,TUBE-014,10,APPROACH_TARGET_SLOT,62.000,-174.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_014,TUBE-014,11,PLACE_TUBE,62.000,-174.000,45.000,yes,yes,yes,ok,within Stage 6A workspace
traj_014,TUBE-014,12,RETREAT_TO_SAFE_Z,62.000,-174.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,1,MOVE_SAFE_ABOVE_INPUT,-174.000,286.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,2,APPROACH_INPUT_SLOT,-174.000,286.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,3,PICK_TUBE,-174.000,286.000,80.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,4,LIFT_TO_SAFE_Z,-174.000,286.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,9,MOVE_SAFE_ABOVE_TARGET,222.000,-174.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,10,APPROACH_TARGET_SLOT,222.000,-174.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,11,PLACE_TUBE,222.000,-174.000,70.000,yes,yes,yes,ok,within Stage 6A workspace
traj_015,TUBE-015,12,RETREAT_TO_SAFE_Z,222.000,-174.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,1,MOVE_SAFE_ABOVE_INPUT,-146.000,286.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,2,APPROACH_INPUT_SLOT,-146.000,286.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,3,PICK_TUBE,-146.000,286.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,4,LIFT_TO_SAFE_Z,-146.000,286.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,9,MOVE_SAFE_ABOVE_TARGET,-205.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,10,APPROACH_TARGET_SLOT,-205.000,-316.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,11,PLACE_TUBE,-205.000,-316.000,45.000,yes,yes,yes,ok,within Stage 6A workspace
traj_016,TUBE-016,12,RETREAT_TO_SAFE_Z,-205.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_017,TUBE-017,1,MOVE_SAFE_ABOVE_INPUT,-118.000,286.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_017,TUBE-017,2,APPROACH_INPUT_SLOT,-118.000,286.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_017,TUBE-017,3,PICK_TUBE,-118.000,286.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
