trajectory_id,sample_id,step_order,state,zone,slot_id,x_mm,y_mm,z_mm,gripper_action,scanner_action,expected_result,notes
traj_013,TUBE-013,9,MOVE_SAFE_ABOVE_TARGET,category_d_bin,A3,278.000,-316.000,180.000,hold,idle,,move above selected target
traj_013,TUBE-013,10,APPROACH_TARGET_SLOT,category_d_bin,A3,278.000,-316.000,120.000,hold,idle,,approach target slot
traj_013,TUBE-013,11,PLACE_TUBE,category_d_bin,A3,278.000,-316.000,45.000,open,idle,,place 75 mm tube
traj_013,TUBE-013,12,RETREAT_TO_SAFE_Z,category_d_bin,A3,278.000,-316.000,180.000,open,idle,,retreat after place
traj_014,TUBE-014,1,MOVE_SAFE_ABOVE_INPUT,input,C2,-202.000,286.000,180.000,open,idle,,above input slot
traj_014,TUBE-014,2,APPROACH_INPUT_SLOT,input,C2,-202.000,286.000,120.000,open,idle,,approach input slot
traj_014,TUBE-014,3,PICK_TUBE,input,C2,-202.000,286.000,55.000,close,idle,,grip 75 mm tube
traj_014,TUBE-014,4,LIFT_TO_SAFE_Z,input,C2,-202.000,286.000,180.000,hold,idle,,lift picked tube
traj_014,TUBE-014,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_014,TUBE-014,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_014,TUBE-014,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category A,scan and classify sample
traj_014,TUBE-014,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_014,TUBE-014,9,MOVE_SAFE_ABOVE_TARGET,category_a_bin,B1,62.000,-174.000,180.000,hold,idle,,move above selected target
traj_014,TUBE-014,10,APPROACH_TARGET_SLOT,category_a_bin,B1,62.000,-174.000,120.000,hold,idle,,approach target slot
traj_014,TUBE-014,11,PLACE_TUBE,category_a_bin,B1,62.000,-174.000,45.000,open,idle,,place 75 mm tube
traj_014,TUBE-014,12,RETREAT_TO_SAFE_Z,category_a_bin,B1,62.000,-174.000,180.000,open,idle,,retreat after place
traj_015,TUBE-015,1,MOVE_SAFE_ABOVE_INPUT,input,C3,-174.000,286.000,180.000,open,idle,,above input slot
traj_015,TUBE-015,2,APPROACH_INPUT_SLOT,input,C3,-174.000,286.000,120.000,open,idle,,approach input slot
traj_015,TUBE-015,3,PICK_TUBE,input,C3,-174.000,286.000,80.000,close,idle,,grip 100 mm tube
traj_015,TUBE-015,4,LIFT_TO_SAFE_Z,input,C3,-174.000,286.000,180.000,hold,idle,,lift picked tube
traj_015,TUBE-015,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_015,TUBE-015,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_015,TUBE-015,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category B,scan and classify sample
traj_015,TUBE-015,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_015,TUBE-015,9,MOVE_SAFE_ABOVE_TARGET,category_b_bin,B1,222.000,-174.000,180.000,hold,idle,,move above selected target
traj_015,TUBE-015,10,APPROACH_TARGET_SLOT,category_b_bin,B1,222.000,-174.000,120.000,hold,idle,,approach target slot
traj_015,TUBE-015,11,PLACE_TUBE,category_b_bin,B1,222.000,-174.000,70.000,open,idle,,place 100 mm tube
traj_015,TUBE-015,12,RETREAT_TO_SAFE_Z,category_b_bin,B1,222.000,-174.000,180.000,open,idle,,retreat after place
traj_016,TUBE-016,1,MOVE_SAFE_ABOVE_INPUT,input,C4,-146.000,286.000,180.000,open,idle,,above input slot
traj_016,TUBE-016,2,APPROACH_INPUT_SLOT,input,C4,-146.000,286.000,120.000,open,idle,,approach input slot
traj_016,TUBE-016,3,PICK_TUBE,input,C4,-146.000,286.000,55.000,close,idle,,grip 75 mm tube
traj_016,TUBE-016,4,LIFT_TO_SAFE_Z,input,C4,-146.000,286.000,180.000,hold,idle,,lift picked tube
traj_016,TUBE-016,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_016,TUBE-016,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_016,TUBE-016,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,fail / unknown,scan and classify sample
traj_016,TUBE-016,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_016,TUBE-016,9,MOVE_SAFE_ABOVE_TARGET,manual_review_bin,A2,-205.000,-316.000,180.000,hold,idle,,move above selected target
traj_016,TUBE-016,10,APPROACH_TARGET_SLOT,manual_review_bin,A2,-205.000,-316.000,120.000,hold,idle,,approach target slot
traj_016,TUBE-016,11,PLACE_TUBE,manual_review_bin,A2,-205.000,-316.000,45.000,open,idle,,place 75 mm tube
traj_016,TUBE-016,12,RETREAT_TO_SAFE_Z,manual_review_bin,A2,-205.000,-316.000,180.000,open,idle,,retreat after place
traj_017,TUBE-017,1,MOVE_SAFE_ABOVE_INPUT,input,C5,-118.000,286.000,180.000,open,idle,,above input slot
traj_017,TUBE-017,2,APPROACH_INPUT_SLOT,input,C5,-118.000,286.000,120.000,open,idle,,approach input slot
traj_017,TUBE-017,3,PICK_TUBE,input,C5,-118.000,286.000,55.000,close,idle,,grip 75 mm tube
traj_017,TUBE-017,4,LIFT_TO_SAFE_Z,input,C5,-118.000,286.000,180.000,hold,idle,,lift picked tube
traj_017,TUBE-017,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_017,TUBE-017,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_017,TUBE-017,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category C,scan and classify sample
traj_017,TUBE-017,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_017,TUBE-017,9,MOVE_SAFE_ABOVE_TARGET,category_c_bin,B1,62.000,-344.000,180.000,hold,idle,,move above selected target
traj_017,TUBE-017,10,APPROACH_TARGET_SLOT,category_c_bin,B1,62.000,-344.000,120.000,hold,idle,,approach target slot
traj_017,TUBE-017,11,PLACE_TUBE,category_c_bin,B1,62.000,-344.000,45.000,open,idle,,place 75 mm tube
traj_017,TUBE-017,12,RETREAT_TO_SAFE_Z,category_c_bin,B1,62.000,-344.000,180.000,open,idle,,retreat after place
traj_018,TUBE-018,1,MOVE_SAFE_ABOVE_INPUT,input,C6,-90.000,286.000,180.000,open,idle,,above input slot
