scenario_id,task_id,tube_id,segment_index,motion_type,axis_mode,segment_distance_mm,delta_z_mm,time_model,segment_time_s,time_category,notes
baseline,TASK-7B1-011,TUBE-7B1-011,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
baseline,TASK-7B1-011,TUBE-7B1-011,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-011,TUBE-7B1-011,9,xy_move_at_safe_z,xy_axes,424.853,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.414,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-011,TUBE-7B1-011,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-011,TUBE-7B1-011,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-011,TUBE-7B1-011,12,z_lift,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-012,TUBE-7B1-012,1,xy_move_at_safe_z,xy_axes,224.722,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.842,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-012,TUBE-7B1-012,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-012,TUBE-7B1-012,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-012,TUBE-7B1-012,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-012,TUBE-7B1-012,5,xy_move_at_safe_z,xy_axes,236.008,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.874,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-012,TUBE-7B1-012,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-012,TUBE-7B1-012,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
baseline,TASK-7B1-012,TUBE-7B1-012,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-012,TUBE-7B1-012,9,xy_move_at_safe_z,xy_axes,230.217,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.858,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-012,TUBE-7B1-012,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-012,TUBE-7B1-012,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
