scenario_id,task_id,tube_id,parameter_set_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,task_tracking_status,notes
baseline,TASK-7B1-042,TUBE-7B1-042,balanced_pid,0.128,0.008,0.049,1.219,0.081,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-042,TUBE-7B1-042,conservative_pid,5.481,0.349,2.638,11.425,0.925,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-043,TUBE-7B1-043,aggressive_pid,0.026,0.003,0.028,0.372,0.04,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-043,TUBE-7B1-043,balanced_pid,0.029,0.003,0.048,0.413,0.044,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-043,TUBE-7B1-043,conservative_pid,5.972,0.335,2.592,12.108,1.012,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-044,TUBE-7B1-044,aggressive_pid,0.04,0.018,0.026,0.432,0.273,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-044,TUBE-7B1-044,balanced_pid,0.096,0.022,0.046,1.201,0.303,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-044,TUBE-7B1-044,conservative_pid,6.434,2.966,2.463,11.243,6.923,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-045,TUBE-7B1-045,aggressive_pid,0.048,0.012,0.027,0.652,0.131,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-045,TUBE-7B1-045,balanced_pid,0.102,0.047,0.048,1.116,0.657,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-045,TUBE-7B1-045,conservative_pid,5.847,2.239,2.558,10.75,6.087,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-046,TUBE-7B1-046,aggressive_pid,0.042,0.004,0.027,0.611,0.064,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-046,TUBE-7B1-046,balanced_pid,0.089,0.018,0.047,1.019,0.193,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-046,TUBE-7B1-046,conservative_pid,6.311,1.941,2.522,11.648,4.47,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-047,TUBE-7B1-047,aggressive_pid,0.044,0.006,0.028,0.556,0.079,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-047,TUBE-7B1-047,balanced_pid,0.062,0.011,0.049,0.721,0.115,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-047,TUBE-7B1-047,conservative_pid,5.353,0.831,2.645,11.278,2.667,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-048,TUBE-7B1-048,aggressive_pid,0.03,0.008,0.028,0.336,0.117,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-048,TUBE-7B1-048,balanced_pid,0.125,0.024,0.048,1.354,0.324,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-048,TUBE-7B1-048,conservative_pid,5.886,0.858,2.599,12.533,3.037,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-049,TUBE-7B1-049,aggressive_pid,0.0,0.0,0.027,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-049,TUBE-7B1-049,balanced_pid,0.109,0.046,0.047,1.172,0.593,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-049,TUBE-7B1-049,conservative_pid,6.13,2.337,2.525,10.989,5.77,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-050,TUBE-7B1-050,aggressive_pid,0.041,0.015,0.027,0.603,0.219,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-050,TUBE-7B1-050,balanced_pid,0.071,0.025,0.047,0.764,0.261,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-050,TUBE-7B1-050,conservative_pid,6.378,2.143,2.508,11.741,4.258,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-051,TUBE-7B1-051,aggressive_pid,0.038,0.014,0.028,0.49,0.193,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-051,TUBE-7B1-051,balanced_pid,0.131,0.035,0.048,1.138,0.394,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-051,TUBE-7B1-051,conservative_pid,5.668,1.333,2.605,11.836,3.817,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-052,TUBE-7B1-052,aggressive_pid,0.023,0.006,0.027,0.273,0.091,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-052,TUBE-7B1-052,balanced_pid,0.024,0.007,0.048,0.286,0.095,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-052,TUBE-7B1-052,conservative_pid,6.142,1.366,2.558,12.221,4.088,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-053,TUBE-7B1-053,aggressive_pid,0.021,0.006,0.03,0.277,0.079,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
