scenario_id,task_id,tube_id,trial_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,worst_axis,task_status,notes
baseline,TASK-7B1-034,TUBE-7B1-034,4,0.158,0.144,0.346,0.974,0.685,0.628,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-034,TUBE-7B1-034,5,0.154,0.142,0.349,0.915,0.667,0.621,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-035,TUBE-7B1-035,1,0.274,0.057,0.324,1.042,0.177,0.654,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-035,TUBE-7B1-035,2,0.278,0.056,0.324,1.017,0.176,0.623,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-035,TUBE-7B1-035,3,0.275,0.06,0.322,0.958,0.205,0.625,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-035,TUBE-7B1-035,4,0.277,0.058,0.322,0.971,0.224,0.624,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-035,TUBE-7B1-035,5,0.275,0.057,0.322,0.983,0.214,0.63,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-036,TUBE-7B1-036,1,0.238,0.112,0.329,0.886,0.606,0.626,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-036,TUBE-7B1-036,2,0.241,0.112,0.332,0.918,0.563,0.609,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-036,TUBE-7B1-036,3,0.239,0.112,0.331,0.872,0.583,0.604,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-036,TUBE-7B1-036,4,0.238,0.111,0.329,0.882,0.53,0.615,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-036,TUBE-7B1-036,5,0.238,0.104,0.329,0.896,0.518,0.619,x,PASS,Task-level robustness summary for balanced_pid.
