scenario_id,task_id,tube_id,waypoint_index,waypoint_name,x_mm,y_mm,z_mm,gripper_state,sample_category,target_type,target_box_id,source_slot_id,state_machine_status,notes
baseline,TASK-7B1-011,TUBE-7B1-011,8,scan_wait,0.0,20.0,155.0,closed,category_B,output_box,output_box_B,R3C2,completed_output,barcode/status wait; no vision localization
baseline,TASK-7B1-011,TUBE-7B1-011,9,lift_to_safe_z_after_scan,0.0,20.0,190.0,closed,category_B,output_box,output_box_B,R3C2,completed_output,lift before place XY
baseline,TASK-7B1-011,TUBE-7B1-011,10,move_xy_above_place,380.0,-170.0,190.0,closed,category_B,output_box,output_box_B,R3C2,completed_output,XY place move at safe_z
baseline,TASK-7B1-011,TUBE-7B1-011,11,descend_to_place,380.0,-170.0,135.0,closed,category_B,output_box,output_box_B,R3C2,completed_output,Z descend allowed at place target
baseline,TASK-7B1-011,TUBE-7B1-011,12,grip_open,380.0,-170.0,135.0,open,category_B,output_box,output_box_B,R3C2,completed_output,release tube
baseline,TASK-7B1-011,TUBE-7B1-011,13,lift_to_safe_z_after_place,380.0,-170.0,190.0,open,category_B,output_box,output_box_B,R3C2,completed_output,return to safe_z after place
baseline,TASK-7B1-012,TUBE-7B1-012,1,home_safe,0.0,0.0,190.0,open,category_C,output_box,output_box_C,R3C3,completed_output,safe home above rack/tube top
baseline,TASK-7B1-012,TUBE-7B1-012,2,move_xy_above_pick,-190.0,-120.0,190.0,open,category_C,output_box,output_box_C,R3C3,completed_output,XY move only at safe_z
baseline,TASK-7B1-012,TUBE-7B1-012,3,descend_to_pick,-190.0,-120.0,145.0,open,category_C,output_box,output_box_C,R3C3,completed_output,Z descend allowed at pick target
baseline,TASK-7B1-012,TUBE-7B1-012,4,grip_close,-190.0,-120.0,145.0,closed,category_C,output_box,output_box_C,R3C3,completed_output,gripper action
baseline,TASK-7B1-012,TUBE-7B1-012,5,lift_to_safe_z,-190.0,-120.0,190.0,closed,category_C,output_box,output_box_C,R3C3,completed_output,lift before XY travel
baseline,TASK-7B1-012,TUBE-7B1-012,6,move_xy_above_scan,0.0,20.0,190.0,closed,category_C,output_box,output_box_C,R3C3,completed_output,"scan is table-driven, no camera recognition"
baseline,TASK-7B1-012,TUBE-7B1-012,7,descend_or_align_to_scan,0.0,20.0,155.0,closed,category_C,output_box,output_box_C,R3C3,completed_output,scan alignment placeholder
baseline,TASK-7B1-012,TUBE-7B1-012,8,scan_wait,0.0,20.0,155.0,closed,category_C,output_box,output_box_C,R3C3,completed_output,barcode/status wait; no vision localization
baseline,TASK-7B1-012,TUBE-7B1-012,9,lift_to_safe_z_after_scan,0.0,20.0,190.0,closed,category_C,output_box,output_box_C,R3C3,completed_output,lift before place XY
baseline,TASK-7B1-012,TUBE-7B1-012,10,move_xy_above_place,230.0,10.0,190.0,closed,category_C,output_box,output_box_C,R3C3,completed_output,XY place move at safe_z
baseline,TASK-7B1-012,TUBE-7B1-012,11,descend_to_place,230.0,10.0,135.0,closed,category_C,output_box,output_box_C,R3C3,completed_output,Z descend allowed at place target
baseline,TASK-7B1-012,TUBE-7B1-012,12,grip_open,230.0,10.0,135.0,open,category_C,output_box,output_box_C,R3C3,completed_output,release tube
baseline,TASK-7B1-012,TUBE-7B1-012,13,lift_to_safe_z_after_place,230.0,10.0,190.0,open,category_C,output_box,output_box_C,R3C3,completed_output,return to safe_z after place
baseline,TASK-7B1-013,TUBE-7B1-013,1,home_safe,0.0,0.0,190.0,open,unknown,manual_review,manual_review_01,R3C5,completed_manual_review,safe home above rack/tube top
baseline,TASK-7B1-013,TUBE-7B1-013,2,move_xy_above_pick,-140.0,-120.0,190.0,open,unknown,manual_review,manual_review_01,R3C5,completed_manual_review,XY move only at safe_z
