scenario_id,task_id,tube_id,segment_index,from_waypoint,to_waypoint,motion_type,axis_mode,start_x_mm,start_y_mm,start_z_mm,end_x_mm,end_y_mm,end_z_mm,segment_distance_mm,requires_safe_z,collision_check_required,notes
baseline,TASK-7B1-008,TUBE-7B1-008,5,lift_to_safe_z,move_xy_above_scan,xy_move_at_safe_z,xy_axes,-165.0,-145.0,190.0,0.0,20.0,190.0,233.345,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-008,TUBE-7B1-008,6,move_xy_above_scan,descend_or_align_to_scan,z_descend,z_axis,0.0,20.0,190.0,0.0,20.0,155.0,35.0,true,true,
baseline,TASK-7B1-008,TUBE-7B1-008,7,descend_or_align_to_scan,scan_wait,scan_wait,dwell,0.0,20.0,155.0,0.0,20.0,155.0,0.0,false,false,
baseline,TASK-7B1-008,TUBE-7B1-008,8,scan_wait,lift_to_safe_z_after_scan,z_lift,z_axis,0.0,20.0,155.0,0.0,20.0,190.0,35.0,true,true,
baseline,TASK-7B1-008,TUBE-7B1-008,9,lift_to_safe_z_after_scan,move_xy_above_place,xy_move_at_safe_z,xy_axes,0.0,20.0,190.0,205.0,10.0,190.0,205.244,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-008,TUBE-7B1-008,10,move_xy_above_place,descend_to_place,z_descend,z_axis,205.0,10.0,190.0,205.0,10.0,135.0,55.0,true,true,
baseline,TASK-7B1-008,TUBE-7B1-008,11,descend_to_place,grip_open,gripper_action,gripper,205.0,10.0,135.0,205.0,10.0,135.0,0.0,false,false,
baseline,TASK-7B1-008,TUBE-7B1-008,12,grip_open,lift_to_safe_z_after_place,z_lift,z_axis,205.0,10.0,135.0,205.0,10.0,190.0,55.0,true,true,
baseline,TASK-7B1-009,TUBE-7B1-009,1,home_safe,move_xy_above_pick,xy_move_at_safe_z,xy_axes,0.0,0.0,190.0,-140.0,-145.0,190.0,201.556,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-009,TUBE-7B1-009,2,move_xy_above_pick,descend_to_pick,z_descend,z_axis,-140.0,-145.0,190.0,-140.0,-145.0,145.0,45.0,true,true,
baseline,TASK-7B1-009,TUBE-7B1-009,3,descend_to_pick,grip_close,gripper_action,gripper,-140.0,-145.0,145.0,-140.0,-145.0,145.0,0.0,false,false,
baseline,TASK-7B1-009,TUBE-7B1-009,4,grip_close,lift_to_safe_z,z_lift,z_axis,-140.0,-145.0,145.0,-140.0,-145.0,190.0,45.0,true,true,
baseline,TASK-7B1-009,TUBE-7B1-009,5,lift_to_safe_z,move_xy_above_scan,xy_move_at_safe_z,xy_axes,-140.0,-145.0,190.0,0.0,20.0,190.0,216.391,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-009,TUBE-7B1-009,6,move_xy_above_scan,descend_or_align_to_scan,z_descend,z_axis,0.0,20.0,190.0,0.0,20.0,155.0,35.0,true,true,
baseline,TASK-7B1-009,TUBE-7B1-009,7,descend_or_align_to_scan,scan_wait,scan_wait,dwell,0.0,20.0,155.0,0.0,20.0,155.0,0.0,false,false,
baseline,TASK-7B1-009,TUBE-7B1-009,8,scan_wait,lift_to_safe_z_after_scan,z_lift,z_axis,0.0,20.0,155.0,0.0,20.0,190.0,35.0,true,true,
baseline,TASK-7B1-009,TUBE-7B1-009,9,lift_to_safe_z_after_scan,move_xy_above_place,xy_move_at_safe_z,xy_axes,0.0,20.0,190.0,355.0,10.0,190.0,355.141,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-009,TUBE-7B1-009,10,move_xy_above_place,descend_to_place,z_descend,z_axis,355.0,10.0,190.0,355.0,10.0,135.0,55.0,true,true,
baseline,TASK-7B1-009,TUBE-7B1-009,11,descend_to_place,grip_open,gripper_action,gripper,355.0,10.0,135.0,355.0,10.0,135.0,0.0,false,false,
baseline,TASK-7B1-009,TUBE-7B1-009,12,grip_open,lift_to_safe_z_after_place,z_lift,z_axis,355.0,10.0,135.0,355.0,10.0,190.0,55.0,true,true,
baseline,TASK-7B1-010,TUBE-7B1-010,1,home_safe,move_xy_above_pick,xy_move_at_safe_z,xy_axes,0.0,0.0,190.0,-240.0,-120.0,190.0,268.328,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-010,TUBE-7B1-010,2,move_xy_above_pick,descend_to_pick,z_descend,z_axis,-240.0,-120.0,190.0,-240.0,-120.0,145.0,45.0,true,true,
baseline,TASK-7B1-010,TUBE-7B1-010,3,descend_to_pick,grip_close,gripper_action,gripper,-240.0,-120.0,145.0,-240.0,-120.0,145.0,0.0,false,false,
baseline,TASK-7B1-010,TUBE-7B1-010,4,grip_close,lift_to_safe_z,z_lift,z_axis,-240.0,-120.0,145.0,-240.0,-120.0,190.0,45.0,true,true,
baseline,TASK-7B1-010,TUBE-7B1-010,5,lift_to_safe_z,move_xy_above_scan,xy_move_at_safe_z,xy_axes,-240.0,-120.0,190.0,0.0,20.0,190.0,277.849,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-010,TUBE-7B1-010,6,move_xy_above_scan,descend_or_align_to_scan,z_descend,z_axis,0.0,20.0,190.0,0.0,20.0,155.0,35.0,true,true,
baseline,TASK-7B1-010,TUBE-7B1-010,7,descend_or_align_to_scan,scan_wait,scan_wait,dwell,0.0,20.0,155.0,0.0,20.0,155.0,0.0,false,false,
baseline,TASK-7B1-010,TUBE-7B1-010,8,scan_wait,lift_to_safe_z_after_scan,z_lift,z_axis,0.0,20.0,155.0,0.0,20.0,190.0,35.0,true,true,
baseline,TASK-7B1-010,TUBE-7B1-010,9,lift_to_safe_z_after_scan,move_xy_above_place,xy_move_at_safe_z,xy_axes,0.0,20.0,190.0,230.0,-170.0,190.0,298.329,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-010,TUBE-7B1-010,10,move_xy_above_place,descend_to_place,z_descend,z_axis,230.0,-170.0,190.0,230.0,-170.0,135.0,55.0,true,true,
baseline,TASK-7B1-010,TUBE-7B1-010,11,descend_to_place,grip_open,gripper_action,gripper,230.0,-170.0,135.0,230.0,-170.0,135.0,0.0,false,false,
baseline,TASK-7B1-010,TUBE-7B1-010,12,grip_open,lift_to_safe_z_after_place,z_lift,z_axis,230.0,-170.0,135.0,230.0,-170.0,190.0,55.0,true,true,
baseline,TASK-7B1-011,TUBE-7B1-011,1,home_safe,move_xy_above_pick,xy_move_at_safe_z,xy_axes,0.0,0.0,190.0,-215.0,-120.0,190.0,246.221,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-011,TUBE-7B1-011,2,move_xy_above_pick,descend_to_pick,z_descend,z_axis,-215.0,-120.0,190.0,-215.0,-120.0,145.0,45.0,true,true,
baseline,TASK-7B1-011,TUBE-7B1-011,3,descend_to_pick,grip_close,gripper_action,gripper,-215.0,-120.0,145.0,-215.0,-120.0,145.0,0.0,false,false,
baseline,TASK-7B1-011,TUBE-7B1-011,4,grip_close,lift_to_safe_z,z_lift,z_axis,-215.0,-120.0,145.0,-215.0,-120.0,190.0,45.0,true,true,
baseline,TASK-7B1-011,TUBE-7B1-011,5,lift_to_safe_z,move_xy_above_scan,xy_move_at_safe_z,xy_axes,-215.0,-120.0,190.0,0.0,20.0,190.0,256.564,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-011,TUBE-7B1-011,6,move_xy_above_scan,descend_or_align_to_scan,z_descend,z_axis,0.0,20.0,190.0,0.0,20.0,155.0,35.0,true,true,
baseline,TASK-7B1-011,TUBE-7B1-011,7,descend_or_align_to_scan,scan_wait,scan_wait,dwell,0.0,20.0,155.0,0.0,20.0,155.0,0.0,false,false,
baseline,TASK-7B1-011,TUBE-7B1-011,8,scan_wait,lift_to_safe_z_after_scan,z_lift,z_axis,0.0,20.0,155.0,0.0,20.0,190.0,35.0,true,true,
baseline,TASK-7B1-011,TUBE-7B1-011,9,lift_to_safe_z_after_scan,move_xy_above_place,xy_move_at_safe_z,xy_axes,0.0,20.0,190.0,380.0,-170.0,190.0,424.853,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-011,TUBE-7B1-011,10,move_xy_above_place,descend_to_place,z_descend,z_axis,380.0,-170.0,190.0,380.0,-170.0,135.0,55.0,true,true,
baseline,TASK-7B1-011,TUBE-7B1-011,11,descend_to_place,grip_open,gripper_action,gripper,380.0,-170.0,135.0,380.0,-170.0,135.0,0.0,false,false,
baseline,TASK-7B1-011,TUBE-7B1-011,12,grip_open,lift_to_safe_z_after_place,z_lift,z_axis,380.0,-170.0,135.0,380.0,-170.0,190.0,55.0,true,true,
baseline,TASK-7B1-012,TUBE-7B1-012,1,home_safe,move_xy_above_pick,xy_move_at_safe_z,xy_axes,0.0,0.0,190.0,-190.0,-120.0,190.0,224.722,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-012,TUBE-7B1-012,2,move_xy_above_pick,descend_to_pick,z_descend,z_axis,-190.0,-120.0,190.0,-190.0,-120.0,145.0,45.0,true,true,
